primaryTitle,startYear,runtimeMinutes,genres,numVotes,averageRating,r1,r2
Drive,2011,100,"Action,Drama",717354,8,175,176
The Hobbit: The Desolation of Smaug,2013,161,"Adventure,Drama,Fantasy",716193,8,176,177
The King's Speech,2010,118,"Biography,Drama,History",713332,8,177,179
Pan's Labyrinth,2006,118,"Drama,Fantasy,War",710885,8,178,180
The Curious Case of Benjamin Button,2008,166,"Drama,Fantasy,Romance",705398,8,179,182
Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure,Family,Fantasy",705136,8,180,183
Casino Royale,2006,144,"Action,Adventure,Thriller",702953,8,181,186
1917,2019,119,"Action,Drama,History",696366,8,183,188
Groundhog Day,1993,101,"Comedy,Drama,Fantasy",696053,8,184,189
Harry Potter and the Goblet of Fire,2005,157,"Adventure,Family,Fantasy",693942,8,185,190
Spider-Man: Into the Spider-Verse,2018,117,"Action,Adventure,Animation",693472,8,186,191
La La Land,2016,128,"Comedy,Drama,Music",691009,8,187,192
Blade Runner 2049,2017,164,"Action,Drama,Mystery",684618,8,188,194
Deadpool 2,2018,119,"Action,Adventure,Comedy",683686,8,189,195
Her,2013,126,"Drama,Romance,Sci-Fi",683050,8,190,197
Jaws,1975,124,"Adventure,Drama,Thriller",674917,8,192,200
Life of Pi,2012,127,"Adventure,Drama,Fantasy",674127,8,193,201
Birdman or (The Unexpected Virtue of Ignorance),2014,119,"Comedy,Drama",673094,8,194,202
The Hateful Eight,2015,168,"Crime,Drama,Mystery",671544,8,195,204
Into the Wild,2007,148,"Adventure,Biography,Drama",665873,8,196,206
The Bourne Ultimatum,2007,115,"Action,Mystery,Thriller",663933,8,197,207
Home Alone,1990,103,"Comedy,Family",662885,8,198,208
12 Monkeys,1995,129,"Mystery,Sci-Fi,Thriller",653636,8,199,211
There Will Be Blood,2007,158,Drama,651617,8,200,212
Oldboy,2003,120,"Action,Drama,Mystery",650998,8,201,213
Cast Away,2000,143,"Adventure,Drama,Romance",649244,8,202,215
Superbad,2007,113,Comedy,645167,8,203,216
Harry Potter and the Order of the Phoenix,2007,138,"Action,Adventure,Family",645021,8,204,217
Argo,2012,120,"Biography,Drama,History",644534,8,205,218
Taken,2008,90,"Action,Crime,Thriller",643078,8,206,219
Rocky,1976,120,"Drama,Sport",640189,8,207,220
The Notebook,2004,123,"Drama,Romance",634157,8,208,222
Toy Story 2,1999,92,"Adventure,Animation,Comedy",629902,8,210,224
Ocean's Eleven,2001,116,"Crime,Thriller",629798,8,211,225
Baby Driver,2017,113,"Action,Crime,Drama",627563,8,212,226
L.A. Confidential,1997,138,"Crime,Drama,Mystery",625724,8,213,227
"Lock, Stock and Two Smoking Barrels",1998,107,"Action,Comedy,Crime",623669,8,215,229
Nightcrawler,2014,117,"Crime,Drama,Thriller",617089,8,216,235
Coco,2017,105,"Adventure,Animation,Drama",612973,8,217,238
